time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
51,2021-10-04 07:31,113918,106315,7603,92625,56,13986,44,5148,22.128593,5029,31,4.209933,13,3.8820956,2093,27449,197.90923,1,16,16317,398,6.981553,4163,5748,1025,12001,11241,11304,10294,2547,99750,4062,94093,694,1354,4432,4451,1710,5657,348,3714,65647,28446,28,0.55166876,73065,16070,8569,2917,1042,555,180,549,249
52,2021-10-04 07:32,94512,89856,4656,80389,29,9941,46,2229,42.401077,2916,26,3.918169,11,3.7059517,937,25664,357.75986,1,8,16603,258,5.6924653,5124,3270,781,9078,8699,8548,8101,3757,81087,5015,74789,1192,974,4966,2326,1274,6298,1153,3862,52758,22031,16,0.53839725,62473,12023,6685,2099,924,321,182,621,167
53,2021-10-04 07:33,90935,86102,4833,73897,6,12885,45,3603,25.23869,3837,26,4.0342035,11,3.7265918,1174,20006,275.9651,2,28,14254,307,6.379613,3413,3386,727,9805,10650,9032,9962,2149,80693,3281,73842,933,903,3185,2588,1294,6851,698,2583,50248,23594,20,0.62864685,58677,12036,7487,2479,973,443,251,722,124
54,2021-10-04 07:34,101088,96324,4764,83287,66,13410,43,4219,23.96018,4987,26,4.44368,11,3.8784,1803,25000,208.3705,1,13,14986,377,6.745496,3558,3427,476,10072,8484,9262,8056,4529,88492,3354,82199,778,690,3223,2801,1082,6293,562,2792,57973,24226,21,0.53809553,66201,13098,7659,1878,643,556,384,655,210
55,2021-10-04 07:35,114104,105127,8977,91189,168,14094,44,14276,7.992715,5425,22,3.9983354,11,3.7740734,2200,23496,180.965,1,12,28655,397,3.9819927,4459,5955,1031,9414,20559,8930,19393,1017,99715,4402,91652,1125,2316,4145,4886,2958,8063,600,3802,58287,33365,18,0.6149653,68388,18139,12113,2281,808,772,350,592,80
56,2021-10-04 07:36,93365,89451,3914,77105,16,13179,44,7058,13.228251,4850,37,4.0737944,10,3.8363013,2246,19735,154.38646,2,89,17068,365,5.470178,3264,2953,426,9321,11474,8892,10701,1652,84594,3192,77362,755,620,2722,2498,902,7232,640,2552,52273,25089,19,0.58056015,61410,13265,8503,2105,673,332,163,612,110
57,2021-10-04 07:37,97329,93102,4227,81198,101,12156,46,2293,42.44614,4868,24,4.22804,10,3.9848123,739,28750,504.0054,2,30,12115,371,8.03376,3092,3136,329,10010,9753,9391,8920,2554,87517,2991,81468,635,668,2801,2732,1030,6049,483,2508,57018,24450,21,0.61270535,64696,12454,7079,2484,1115,451,520,830,142
58,2021-10-04 07:38,95919,91649,4270,79570,47,12286,44,3582,26.778057,4754,23,4.142751,10,3.8922083,1258,24323,284.4054,1,23,12465,358,7.695066,3024,3136,380,10025,9943,9410,9424,1695,87011,2936,79781,649,708,2953,2710,1053,7230,435,2501,54928,24853,21,0.5635901,63842,14035,7324,1987,804,289,205,690,130
59,2021-10-04 07:39,113948,109914,4034,97897,5,12257,45,14275,7.9823465,4889,38,4.169842,12,3.8984842,2848,27995,150.8118,1,7,24309,370,4.687482,3006,2916,337,18043,9389,16903,8891,2773,104209,2962,93159,683,691,2853,2544,1044,11050,483,2479,59754,33405,17,0.5755834,72461,18129,11062,2859,855,439,270,638,87
60,2021-10-04 07:40,88704,84458,4246,73038,5,11780,47,2447,36.250103,4816,18,4.0106087,11,3.7881906,1167,23757,275.49957,1,8,9855,385,9.000914,3391,3105,285,9625,8648,8996,8155,1260,79836,3345,74408,711,713,3058,2782,1112,5428,418,2927,51716,22692,16,0.5277214,58809,12829,7325,2209,747,322,155,363,70
